000,feef1396
1dd,fffe6091
1de,fffe6116
1df,fffe84df
1e0,fffeb65c
1e1,fffeb076
1e2,fffece6f
1e3,fffed576
1e4,fffef012
1e5,fffef819
1e6,ffff1178
1e7,ffff186b
1e8,ffff31d8
1e9,ffff366e
1ea,ffff51c0
1eb,ffff5224
1ec,ffff7447
1ed,ffff6ba0
1ee,ffffb641
1ef,ffff2a54
1f0,ffff4c54
1f1,ffff94a1
1f2,ffff87df
1f3,ffffa5d3
1f4,ffff9ff9
1f5,ffffb48c
1f6,ffffb0c2
1f7,ffffc0ad
1f8,ffffbd4d
1f9,ffffca26
1fa,ffffc66c
1fb,ffffd0f2
1fc,ffffcc6a
1fd,ffffd513
1fe,ffffcf6f
1ff,0110ec6a
